key,namespace_l2,value,locale_count,locales
crm.contentCal.aiHub.pendingDesc,crm.contentCal,Pending,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.viewCampaigns,crm.contentCal,View Campaigns,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.heroSub,crm.contentCal,Hero,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.registerCard,crm.contentCal,Register Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.analyzing,crm.contentCal,Analyzing,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.analysisTags,crm.contentCal,Analysis Tags,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.kpiRecommend,crm.contentCal,Recommend,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.kpiApproved,crm.contentCal,Approved,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.kpiExecuted,crm.contentCal,Executed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.kpiTotalBudget,crm.contentCal,Total Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.kpiEstRevenue,crm.contentCal,Est Revenue,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.kpiEstProfit,crm.contentCal,Est Profit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.noCardWarning,crm.contentCal,No Card Warning,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.noCardDesc,crm.contentCal,No Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.bulkApproved,crm.contentCal,Bulk Approved,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.readyToExec,crm.contentCal,Ready To Exec,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.needCard,crm.contentCal,Need Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.totalExecBudget,crm.contentCal,Total Exec Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.bulkExec,crm.contentCal,Bulk Exec,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.approveAll,crm.contentCal,Approve All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.campaignStatus,crm.contentCal,Campaign Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.autoRegistered,crm.contentCal,Auto Registered,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.checkInCampaignMgr,crm.contentCal,Check In Campaign Mgr,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.journeyAutomation,crm.contentCal,Journey Automation,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.journeyLink,crm.contentCal,Journey Link,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.journeyDesc,crm.contentCal,Journey,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.attribution,crm.contentCal,Attribution,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.attributionLink,crm.contentCal,Attribution Link,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiHub.attributionDesc,crm.contentCal,Attribution,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.secTitle,crm.contentCal,Sec Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.secDesc,crm.contentCal,Sec,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.secCode,crm.contentCal,Sec Code,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.secUnlock,crm.contentCal,Sec Unlock,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.syncInventory,crm.contentCal,Sync Inventory,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.syncOrders,crm.contentCal,Sync Orders,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.syncBudgets,crm.contentCal,Sync Budgets,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.syncActiveRules,crm.contentCal,Sync Active Rules,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.liveSyncStatus,crm.contentCal,Live Sync Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.policyCreated,crm.contentCal,Policy Created,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.totalPolicies,crm.contentCal,Total Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.highSev,crm.contentCal,High Sev,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.medSev,crm.contentCal,Med Sev,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.firedTotal,crm.contentCal,Fired Total,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.policiesTitle,crm.contentCal,Policies Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cancel,crm.contentCal,Cancel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.addPolicy,crm.contentCal,Add Policy,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.policyName,crm.contentCal,Policy Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.policyNamePh,crm.contentCal,Policy Name Ph,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.dimension,crm.contentCal,Dimension,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.dimCampaign,crm.contentCal,Dim Campaign,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.dimSku,crm.contentCal,Dim Sku,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.dimCreator,crm.contentCal,Dim Creator,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.dimPlatform,crm.contentCal,Dim Platform,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.metric,crm.contentCal,Metric,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.operator,crm.contentCal,Operator,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.threshold,crm.contentCal,Threshold,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.severity,crm.contentCal,Severity,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.sevHigh,crm.contentCal,Sev High,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.sevMedium,crm.contentCal,Sev Medium,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.sevLow,crm.contentCal,Sev Low,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.savePolicy,crm.contentCal,Save Policy,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.noPolicies,crm.contentCal,No Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.noPoliciesDesc,crm.contentCal,No Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.condition,crm.contentCal,Condition,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.active,crm.contentCal,Active,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.paused,crm.contentCal,Paused,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.policyFired,crm.contentCal,Policy Fired,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.secEvents,crm.contentCal,Sec Events,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.totalAudit,crm.contentCal,Total Audit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.noGovernance,crm.contentCal,No Governance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.noGovernanceDesc,crm.contentCal,No Governance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgToggled,crm.contentCal,Cfg Toggled,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgBudgetCap,crm.contentCal,Cfg Budget Cap,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgBudgetDesc,crm.contentCal,Cfg Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgRoasFloor,crm.contentCal,Cfg Roas Floor,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgRoasDesc,crm.contentCal,Cfg Roas,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgBidLimit,crm.contentCal,Cfg Bid Limit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgBidDesc,crm.contentCal,Cfg Bid,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgFreqCap,crm.contentCal,Cfg Freq Cap,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgFreqDesc,crm.contentCal,Cfg Freq,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgCreativeFilter,crm.contentCal,Cfg Creative Filter,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgCreativeDesc,crm.contentCal,Cfg Creative,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgApprovalGate,crm.contentCal,Cfg Approval Gate,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.cfgApprovalDesc,crm.contentCal,Cfg Approval,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.configTitle,crm.contentCal,Config Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.enabled,crm.contentCal,Enabled,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.disabled,crm.contentCal,Disabled,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.crossTabSync,crm.contentCal,Cross Sync,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.crossTabConfig,crm.contentCal,Cross Config,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.tabPolicies,crm.contentCal,Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.tabPoliciesDesc,crm.contentCal,Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.tabGovernance,crm.contentCal,Governance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.tabGovernanceDesc,crm.contentCal,Governance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.tabConfig,crm.contentCal,Config,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.tabConfigDesc,crm.contentCal,Config,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.demoBanner,crm.contentCal,Demo Banner,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.demoBannerDesc,crm.contentCal,Demo Banner,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.upgradeBtn,crm.contentCal,Upgrade,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.badgePolicies,crm.contentCal,Badge Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.badgeRules,crm.contentCal,Badge Rules,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.badgeRealtime,crm.contentCal,Badge Realtime,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.aiPolicy.badgeSecurity,crm.contentCal,Badge Security,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.gSug.,crm.contentCal,,4,"en,es,fr,vi"
crm.contentCal.actionPresets.pageTitle,crm.contentCal,Page Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.pageSub,crm.contentCal,Page,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.presetList,crm.contentCal,Preset List,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.risk.all,crm.contentCal,All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.usageGuide,crm.contentCal,Usage Guide,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step1.title,crm.contentCal,Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step1.desc,crm.contentCal,desc,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step2.title,crm.contentCal,Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step2.desc,crm.contentCal,desc,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step3.title,crm.contentCal,Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step3.desc,crm.contentCal,desc,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step4.title,crm.contentCal,Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actionPresets.guide.step4.desc,crm.contentCal,desc,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gUrgent,crm.contentCal,Urgent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gRisk,crm.contentCal,At Risk,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gNormal,crm.contentCal,Normal,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gChamp,crm.contentCal,Champion,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gLoyal,crm.contentCal,Loyal,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gLost,crm.contentCal,Lost,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.gNew,crm.contentCal,New,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.msgEmailDone,crm.contentCal,Email Done,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.msgKakaoDone,crm.contentCal,Kakao Done,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.msgJourneyDone,crm.contentCal,Journey Done,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.aiSum1,crm.contentCal,Ai Sum1,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.aiSum2,crm.contentCal,Ai Sum2,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segUnit,crm.contentCal,Seg Unit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.aiSum3,crm.contentCal,Ai Sum3,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.aiInsight,crm.contentCal,Ai Insight,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.aiBtnKakao,crm.contentCal,Ai Kakao,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.emptyCust,crm.contentCal,No customers.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.titDetail,crm.contentCal,Customer Details,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.lblPhone,crm.contentCal,Phone,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.colCnt,crm.contentCal,Orders,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.lblAct,crm.contentCal,Act,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.actEmpty,crm.contentCal,Act Empty,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.btnSaving,crm.contentCal,Saving...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segNew,crm.contentCal,Seg New,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segName,crm.contentCal,Seg Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segDesc,crm.contentCal,Seg,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segColor,crm.contentCal,Seg Color,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segCond,crm.contentCal,Seg Cond,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segAdd,crm.contentCal,Seg Add,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segCreate,crm.contentCal,Seg Create,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.segEmpty,crm.contentCal,Seg Empty,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.rfmListTit,crm.contentCal,RFM Segments,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.fName,crm.contentCal,Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.colEmail,crm.contentCal,Email,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.colLast,crm.contentCal,Last Activity,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.colGrade,crm.contentCal,Grade,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.pageTitle,crm.contentCal,Customer Management (CRM),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.statTot,crm.contentCal,Total Customers,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.statAct,crm.contentCal,Active,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.statLtv,crm.contentCal,Customer LTV,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.statSeg,crm.contentCal,Segments,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.btnRegister,crm.contentCal,+ Register,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.formNew,crm.contentCal,New Customer,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.fEmail,crm.contentCal,F Email,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.fPhone,crm.contentCal,F Phone,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.fGrade,crm.contentCal,F Grade,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.fGradeGen,crm.contentCal,F Grade Gen,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.btnSave,crm.contentCal,Save,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.btnCancel,crm.contentCal,Cancel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.fSearch,crm.contentCal,Search,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.colPhone,crm.contentCal,Phone,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.colLtv,crm.contentCal,LTV,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.tDetail,crm.contentCal,Details,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.guideTabsTitle,crm.contentCal,Guide Tabs Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.lblMockTest,crm.contentCal,Mock Test,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.lblSmtpHost,crm.contentCal,SMTP Host,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.lblSmtpPort,crm.contentCal,SMTP Port,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.lblSmtpUser,crm.contentCal,SMTP User,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.awsRegion,crm.contentCal,AWS Region,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.mockMode,crm.contentCal,Mock Mode,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.colClick,crm.contentCal,Click%,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.email.dismiss,crm.contentCal,OK,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.unitMan,crm.contentCal,K,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.dismiss,crm.contentCal,OK,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.crm.of,crm.contentCal,/,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.tabProducts,crm.contentCal,Product List,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.tabCategories,crm.contentCal,Categories,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.tabSync,crm.contentCal,Sync Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.noProducts,crm.contentCal,No products registered.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.colName,crm.contentCal,Product Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.colSku,crm.contentCal,SKU,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.colPrice,crm.contentCal,Price,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.syncBtn,crm.contentCal,Start Sync,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.lastSync,crm.contentCal,Last Sync,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.colSkuHeader,crm.contentCal,SKU,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.conn.secTitle,crm.contentCal,Sec Title,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.conn.secCode,crm.contentCal,Sec Code,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.conn.secUnlock,crm.contentCal,Sec Unlock,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.conn.dwFeatureStreaming,crm.contentCal,Dw Feature Streaming,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.catalogSync.conn.dwFeaturePartition,crm.contentCal,Dw Feature Partition,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
